2016-12-24 16:46:23 INFO  CashDesk:37 - Client Jesika is served
2016-12-24 16:46:57 INFO  Client:22 - Client Dekstor visit the Restaurant.
2016-12-24 16:46:57 INFO  Client:22 - Client Vadim visit the Restaurant.
2016-12-24 16:46:57 INFO  Client:22 - Client Emma visit the Restaurant.
2016-12-24 16:46:57 INFO  Client:60 - Client Vadim had chosen CashDesk#1
2016-12-24 16:46:57 INFO  Client:22 - Client Jesika visit the Restaurant.
2016-12-24 16:46:57 INFO  Client:26 - Client Vadim made pre order.
2016-12-24 16:46:57 INFO  Client:60 - Client Emma had chosen CashDesk#2
2016-12-24 16:46:57 INFO  Client:60 - Client Dekstor had chosen CashDesk#1
2016-12-24 16:46:57 INFO  Client:26 - Client Emma made pre order.
2016-12-24 16:46:57 INFO  CashDesk:37 - Client Vadim is served
2016-12-24 16:46:57 INFO  Client:60 - Client Jesika had chosen CashDesk#1
2016-12-24 16:46:57 INFO  CashDesk:37 - Client Emma is served
2016-12-24 16:46:57 INFO  Client:26 - Client Dekstor made pre order.
2016-12-24 16:46:57 INFO  Client:26 - Client Jesika made pre order.
2016-12-24 16:46:57 INFO  CashDesk:37 - Client Jesika is served
2016-12-24 16:46:57 INFO  CashDesk:37 - Client Dekstor is served
2016-12-24 16:47:30 INFO  Client:21 - Client Jesika visit the Restaurant.
2016-12-24 16:47:30 INFO  Client:21 - Client Vadim visit the Restaurant.
2016-12-24 16:47:30 INFO  Client:21 - Client Dekstor visit the Restaurant.
2016-12-24 16:47:30 INFO  Client:59 - Client Jesika had chosen CashDesk#2
2016-12-24 16:47:30 INFO  Client:21 - Client Emma visit the Restaurant.
2016-12-24 16:47:30 INFO  Client:59 - Client Emma had chosen CashDesk#4
2016-12-24 16:47:30 INFO  Client:25 - Client Emma made pre order.
2016-12-24 16:47:30 INFO  CashDesk:37 - Client Emma is served
2016-12-24 16:47:30 INFO  Client:25 - Client Jesika made pre order.
2016-12-24 16:47:30 INFO  CashDesk:37 - Client Jesika is served
2016-12-24 16:47:30 INFO  Client:59 - Client Vadim had chosen CashDesk#1
2016-12-24 16:47:30 INFO  Client:25 - Client Vadim made pre order.
2016-12-24 16:47:30 INFO  CashDesk:37 - Client Vadim is served
2016-12-24 16:47:30 INFO  Client:59 - Client Dekstor had chosen CashDesk#3
2016-12-24 16:47:30 INFO  Client:25 - Client Dekstor made pre order.
2016-12-24 16:47:30 INFO  CashDesk:37 - Client Dekstor is served
2016-12-25 15:23:35 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:23:35 INFO  Client:26 - Client Marlin,Dimasik^^,David,Fuhrer visit the Restaurant.
2016-12-25 15:23:35 INFO  Client:64 - Client Marlin,Dimasik^^,David,Fuhrer had chosen CashDesk#1
2016-12-25 15:23:35 INFO  Client:30 - Client Marlin,Dimasik^^,David,Fuhrer made pre order.
2016-12-25 15:23:35 INFO  CashDesk:31 - Client Marlin,Dimasik^^,David,Fuhrer is served
2016-12-25 15:24:36 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:24:36 INFO  Client:26 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:24:36 INFO  Client:26 - Client Fuhrer visit the Restaurant.
2016-12-25 15:24:36 INFO  Client:26 - Client David visit the Restaurant.
2016-12-25 15:24:36 INFO  Client:64 - Client David had chosen CashDesk#4
2016-12-25 15:24:36 INFO  Client:26 - Client Marlin visit the Restaurant.
2016-12-25 15:24:36 INFO  Client:64 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:24:36 INFO  Client:64 - Client Fuhrer had chosen CashDesk#4
2016-12-25 15:24:36 INFO  Client:30 - Client Dimasik^^ made pre order.
2016-12-25 15:24:36 INFO  Client:64 - Client Marlin had chosen CashDesk#2
2016-12-25 15:24:36 INFO  Client:30 - Client David made pre order.
2016-12-25 15:24:36 INFO  Client:30 - Client Marlin made pre order.
2016-12-25 15:24:36 INFO  Client:30 - Client Fuhrer made pre order.
2016-12-25 15:24:36 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:24:36 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:24:36 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:24:36 INFO  CashDesk:31 - Client David is served
2016-12-25 15:24:45 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:24:45 INFO  Client:26 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:24:45 INFO  Client:64 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:24:45 INFO  Client:26 - Client David visit the Restaurant.
2016-12-25 15:24:45 INFO  Client:26 - Client Fuhrer visit the Restaurant.
2016-12-25 15:24:45 INFO  Client:30 - Client Dimasik^^ made pre order.
2016-12-25 15:24:45 INFO  Client:26 - Client Marlin visit the Restaurant.
2016-12-25 15:24:45 INFO  Client:64 - Client Fuhrer had chosen CashDesk#1
2016-12-25 15:24:45 INFO  Client:64 - Client David had chosen CashDesk#3
2016-12-25 15:24:45 INFO  Client:30 - Client Fuhrer made pre order.
2016-12-25 15:24:45 INFO  Client:64 - Client Marlin had chosen CashDesk#2
2016-12-25 15:24:45 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:24:45 INFO  Client:30 - Client David made pre order.
2016-12-25 15:24:45 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:24:45 INFO  CashDesk:31 - Client David is served
2016-12-25 15:24:45 INFO  Client:30 - Client Marlin made pre order.
2016-12-25 15:24:45 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:26:26 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:26:26 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:26:26 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:26:26 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:26:26 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:26:26 INFO  Client:65 - Client Marlin had chosen CashDesk#1
2016-12-25 15:26:26 INFO  Client:65 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:26:26 INFO  Client:65 - Client David had chosen CashDesk#3
2016-12-25 15:26:26 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:26:26 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:26:26 INFO  Client:65 - Client Fuhrer had chosen CashDesk#4
2016-12-25 15:26:26 INFO  Client:31 - Client David made pre order.
2016-12-25 15:26:26 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:26:26 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:26:26 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:26:26 INFO  CashDesk:31 - Client David is served
2016-12-25 15:26:26 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:26:44 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:27:06 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:27:06 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:27:06 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:27:06 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:27:06 INFO  Client:65 - Client Dimasik^^ had chosen CashDesk#2
2016-12-25 15:27:06 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:27:06 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:27:06 INFO  Client:65 - Client Fuhrer had chosen CashDesk#3
2016-12-25 15:27:06 INFO  Client:65 - Client Marlin had chosen CashDesk#3
2016-12-25 15:27:06 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:27:06 INFO  Client:65 - Client David had chosen CashDesk#3
2016-12-25 15:27:06 INFO  Client:31 - Client David made pre order.
2016-12-25 15:27:06 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:27:06 INFO  CashDesk:31 - Client David is served
2016-12-25 15:27:06 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:27:06 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:27:06 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:28:19 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:28:19 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:28:19 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:28:19 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:28:19 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:28:19 INFO  Client:65 - Client David had chosen CashDesk#2
2016-12-25 15:28:19 INFO  Client:31 - Client David made pre order.
2016-12-25 15:28:19 INFO  Client:65 - Client Marlin had chosen CashDesk#3
2016-12-25 15:28:19 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:28:19 INFO  Client:65 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:28:19 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:28:19 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:28:19 INFO  Client:65 - Client Fuhrer had chosen CashDesk#2
2016-12-25 15:28:19 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:28:19 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:28:19 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:28:19 INFO  CashDesk:31 - Client David is served
2016-12-25 15:28:59 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:28:59 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:28:59 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:28:59 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:28:59 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:28:59 INFO  Client:65 - Client Marlin had chosen CashDesk#1
2016-12-25 15:28:59 INFO  Client:65 - Client Dimasik^^ had chosen CashDesk#2
2016-12-25 15:28:59 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:28:59 INFO  Client:65 - Client David had chosen CashDesk#3
2016-12-25 15:28:59 INFO  Client:31 - Client David made pre order.
2016-12-25 15:28:59 INFO  Client:65 - Client Fuhrer had chosen CashDesk#2
2016-12-25 15:28:59 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:28:59 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:28:59 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:28:59 INFO  CashDesk:31 - Client David is served
2016-12-25 15:28:59 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:28:59 INFO  CashDesk:31 - Client Dimasik^^ is served
